id da peça,descrição da peça,id do fornecedor,valor da peça,valor vender
14,Brinco Argola Coração Vazado,2,"R$02,38","R$27,00"
16,Brinco Argola Gota Azul,2,"R$02,38","R$21,90"
1,Brinco circulo cravejado vazado,1,"R$10,90","R$32,70"
19,Brinco Lacinho,2,"R$03,90","R$24,00"
15,Brinco Laço Cravejado Colorido,2,"R$03,18","R$23,00"
13,Brinco Ponto de Luz Esmeralda,2,"R$01,58","R$23,00"
2,Brinco raminho cravejado,1,"R$10,50","R$31,50"
18,Brinco Trio Coração Zircônia Colors,2,"R$08,90","R$27,00"
17,Brinco Trio Corações Zircônia Colors Candy,2,"R$08,90","R$26,70"
5,Choker com bolinhas penduradas,1,"R$13,90","R$41,70"
7,Choker corações chapinhas penduradas,1,"R$14,70","R$44,10"
8,Choker coraçôes lisos preenchidos,1,"R$14,75","R$44,25"
9,Choker elinhos corações,1,"R$12,30","R$36,90"
20,Choker Mini Corações Groumet,2,"R$09,90","R$09,90"
6,Colar coração cristal,1,"R$13,90","R$41,70"
3,Colar coração rosa claro,1,"R$12,90","R$38,70"
4,Colar estrela do mar cravejado,1,"R$11,90","R$35,70"
11,Pulseira corações chapinhas,1,"R$12,90","R$38,70"
12,Pulseira corações lisos preenchidos,1,"R$13,70","R$41,10"
22,Pulseira Mini Corações Vazado,2,"R$07,50","R$28,00"
10,Pulseira três corações preto,1,"R$13,90","R$41,70"
21,Pulseira Três Corações Vermelho,2,"R$09,90","R$29,70"